Matrix,Rows,Columns,NNZ,NNZ/Rows,SPMV Function,Thread Count,Time
brainpc2.mtx,27607,27607,96601,3.49915,csr_serial_spmv,1,0.156187
brainpc2.mtx,27607,27607,96601,3.49915,csr_omp_spmv,2,0.11943
brainpc2.mtx,27607,27607,96601,3.49915,csr_omp_spmv,4,0.150311
brainpc2.mtx,27607,27607,96601,3.49915,csr_omp_spmv,6,0.177791
brainpc2.mtx,27607,27607,96601,3.49915,csr_pth_spmv,2,0.166018
brainpc2.mtx,27607,27607,96601,3.49915,csr_pth_spmv,4,0.10604
brainpc2.mtx,27607,27607,96601,3.49915,csr_pth_spmv,6,0.111002
coater1.mtx,1348,1348,19457,14.434,csr_serial_spmv,1,0.00551701
coater1.mtx,1348,1348,19457,14.434,csr_omp_spmv,2,0.00758004
coater1.mtx,1348,1348,19457,14.434,csr_omp_spmv,4,0.00672984
coater1.mtx,1348,1348,19457,14.434,csr_omp_spmv,6,0.00849319
coater1.mtx,1348,1348,19457,14.434,csr_pth_spmv,2,0.00959802
coater1.mtx,1348,1348,19457,14.434,csr_pth_spmv,4,0.00938106
coater1.mtx,1348,1348,19457,14.434,csr_pth_spmv,6,0.00959396
lp_qap12.mtx,3192,8856,38304,12,csr_serial_spmv,1,0.0208869
lp_qap12.mtx,3192,8856,38304,12,csr_omp_spmv,2,0.0148869
lp_qap12.mtx,3192,8856,38304,12,csr_omp_spmv,4,0.0186059
lp_qap12.mtx,3192,8856,38304,12,csr_omp_spmv,6,0.0192211
lp_qap12.mtx,3192,8856,38304,12,csr_pth_spmv,2,0.02037
lp_qap12.mtx,3192,8856,38304,12,csr_pth_spmv,4,0.0205209
lp_qap12.mtx,3192,8856,38304,12,csr_pth_spmv,6,0.0211411
t60k.mtx,60005,60005,89440,1.49054,csr_serial_spmv,1,0.238651
t60k.mtx,60005,60005,89440,1.49054,csr_omp_spmv,2,0.239954
t60k.mtx,60005,60005,89440,1.49054,csr_omp_spmv,4,0.368692
t60k.mtx,60005,60005,89440,1.49054,csr_omp_spmv,6,0.315102
t60k.mtx,60005,60005,89440,1.49054,csr_pth_spmv,2,0.333809
t60k.mtx,60005,60005,89440,1.49054,csr_pth_spmv,4,0.329194
t60k.mtx,60005,60005,89440,1.49054,csr_pth_spmv,6,0.352293
bp_800.mtx,822,822,4534,5.51582,csr_serial_spmv,1,0.00554204
bp_800.mtx,822,822,4534,5.51582,csr_omp_spmv,2,0.0059669
bp_800.mtx,822,822,4534,5.51582,csr_omp_spmv,4,0.00866389
bp_800.mtx,822,822,4534,5.51582,csr_omp_spmv,6,0.00418401
bp_800.mtx,822,822,4534,5.51582,csr_pth_spmv,2,0.00407505
bp_800.mtx,822,822,4534,5.51582,csr_pth_spmv,4,0.00454211
bp_800.mtx,822,822,4534,5.51582,csr_pth_spmv,6,0.00413585
G9.mtx,800,800,19176,23.97,csr_serial_spmv,1,0.0057261
G9.mtx,800,800,19176,23.97,csr_omp_spmv,2,0.00563192
G9.mtx,800,800,19176,23.97,csr_omp_spmv,4,0.0050509
G9.mtx,800,800,19176,23.97,csr_omp_spmv,6,0.00492287
G9.mtx,800,800,19176,23.97,csr_pth_spmv,2,0.00422716
G9.mtx,800,800,19176,23.97,csr_pth_spmv,4,0.00384402
G9.mtx,800,800,19176,23.97,csr_pth_spmv,6,0.00403214
494_bus.mtx,494,494,1080,2.18623,csr_serial_spmv,1,0.00235415
494_bus.mtx,494,494,1080,2.18623,csr_omp_spmv,2,0.00297213
494_bus.mtx,494,494,1080,2.18623,csr_omp_spmv,4,0.00690794
494_bus.mtx,494,494,1080,2.18623,csr_omp_spmv,6,0.00359297
494_bus.mtx,494,494,1080,2.18623,csr_pth_spmv,2,0.00364614
494_bus.mtx,494,494,1080,2.18623,csr_pth_spmv,4,0.00365496
494_bus.mtx,494,494,1080,2.18623,csr_pth_spmv,6,0.00369096
Goodwin_013.mtx,1965,1965,56069,28.5338,csr_serial_spmv,1,0.013983
Goodwin_013.mtx,1965,1965,56069,28.5338,csr_omp_spmv,2,0.0140169
Goodwin_013.mtx,1965,1965,56069,28.5338,csr_omp_spmv,4,0.01335
Goodwin_013.mtx,1965,1965,56069,28.5338,csr_omp_spmv,6,0.00857496
Goodwin_013.mtx,1965,1965,56069,28.5338,csr_pth_spmv,2,0.00942016
Goodwin_013.mtx,1965,1965,56069,28.5338,csr_pth_spmv,4,0.00952792
Goodwin_013.mtx,1965,1965,56069,28.5338,csr_pth_spmv,6,0.0139949
abtaha1.mtx,14596,209,51307,3.51514,csr_serial_spmv,1,0.113636
abtaha1.mtx,14596,209,51307,3.51514,csr_omp_spmv,2,0.0920358
abtaha1.mtx,14596,209,51307,3.51514,csr_omp_spmv,4,0.079499
abtaha1.mtx,14596,209,51307,3.51514,csr_omp_spmv,6,0.0622289
abtaha1.mtx,14596,209,51307,3.51514,csr_pth_spmv,2,0.0589831
abtaha1.mtx,14596,209,51307,3.51514,csr_pth_spmv,4,0.072346
abtaha1.mtx,14596,209,51307,3.51514,csr_pth_spmv,6,0.0601981
adder_dcop_66.mtx,1813,1813,11246,6.20298,csr_serial_spmv,1,0.011569
adder_dcop_66.mtx,1813,1813,11246,6.20298,csr_omp_spmv,2,0.0118361
adder_dcop_66.mtx,1813,1813,11246,6.20298,csr_omp_spmv,4,0.0123281
adder_dcop_66.mtx,1813,1813,11246,6.20298,csr_omp_spmv,6,0.0126839
adder_dcop_66.mtx,1813,1813,11246,6.20298,csr_pth_spmv,2,0.0123122
adder_dcop_66.mtx,1813,1813,11246,6.20298,csr_pth_spmv,4,0.0123949
adder_dcop_66.mtx,1813,1813,11246,6.20298,csr_pth_spmv,6,0.0124462
